iata,icao,name,lat,lon,alt,continent,iso_country
DEE,UHSM,Yuzhno-Kurilsk Mendeleyevo Airport,43.958401,145.682999,584,EU,RU
DGP,EVDA,Daugavpils Intrenational Airport,55.94472122,26.66500092,398,EU,LV
DHG,DHG,Dalnegorsk Airport,44.558748,135.490005,833,EU,RU
DHR,EHKD,De Kooy Airport,52.92340088,4.780620098,3,EU,NL
DIJ,LFSD,Dijon-Bourgogne Airport,47.268902,5.09,726,EU,FR
DJU,BIDV,Djúpivogur Airport,64.64420319,-14.28279972,9,EU,IS
DLD,ENDI,Geilo Airport Dagali,60.41730118,8.518349648,2618,EU,NO
DLE,LFGJ,Dole-Tavaux Airport,47.042686,5.435063,645,EU,FR
DLR,DLR,Dalnerechensk Airport,45.8783,133.7363,272,EU,RU
DLR,RU-0493,Dalnerechensk Airport,45.8783,133.7363,272,EU,RU
DME,UUDD,Domodedovo International Airport,55.40879822,37.90629959,588,EU,RU
DND,EGPN,Dundee Airport,56.45249939,-3.02583003,17,EU,GB
DNK,UKDD,Dnipropetrovsk International Airport,48.35720062,35.1006012,481,EU,UA
DNR,LFRD,Dinard-Pleurtuit-Saint-Malo Airport,48.58769989,-2.079960108,219,EU,FR
DOC,GB-DOC,Dornoch Airfield,57.868999,-4.023,1,EU,GB
DOK,UKCC,Donetsk International Airport,48.073601,37.7397,791,EU,UA
DOL,LFRG,Deauville-Saint-Gatien Airport,49.36529922,0.154305995,479,EU,FR
DPE,LFAB,St Aubin Airport,49.88249969,1.085279942,344,EU,FR
DPT,DPT,Deputatskiy Airport,69.392503,139.890012,950,EU,RU
DRS,EDDC,Dresden Airport,51.13280106,13.76720047,755,EU,DE
DSA,EGCN,Robin Hood Doncaster Sheffield Airport,53.48053781,-1.010656357,55,EU,GB
DTM,EDLW,Dortmund Airport,51.5182991,7.612239838,425,EU,DE
DUB,EIDW,Dublin Airport,53.421299,-6.27007,242,EU,IE
DUS,EDDL,Düsseldorf Airport,51.289501,6.76678,147,EU,DE
DYR,UHMA,Ugolny Airport,64.734902,177.740997,194,EU,RU
EAS,LESO,San Sebastian Airport,43.35649872,-1.790609956,16,EU,ES
EBA,LIRJ,Marina Di Campo Airport,42.7603,10.2394,31,EU,IT
EBJ,EKEB,Esbjerg Airport,55.525902,8.5534,97,EU,DK
EBU,LFMH,Saint-Étienne-Bouthéon Airport,45.54059982,4.296390057,1325,EU,FR
ECV,LECU,Cuatro Vientos Airport,40.370701,-3.78514,2269,EU,ES
EDI,EGPH,Edinburgh Airport,55.95000076,-3.372499943,135,EU,GB
EDM,LFRI,La Roche-sur-Yon Airport,46.70190048,-1.378630042,299,EU,FR
EDN,UHWE,Yedinka Airport,47.178201,138.657357,98,EU,RU
EFL,LGKF,Kefallinia Airport,38.12009811,20.50049973,59,EU,GR
EGC,LFBE,Bergerac-Roumanière Airport,44.82529831,0.518611014,171,EU,FR
EGO,UUOB,Belgorod International Airport,50.64379883,36.59009933,735,EU,RU
EGS,BIEG,Egilsstaðir Airport,65.28330231,-14.40139961,76,EU,IS
EIB,EDGE,Eisenach-Kindel Airport,50.991604,10.47973,1112,EU,DE
EIK,URKE,Yeysk Airport,46.68,38.21,60,EU,RU
EIN,EHEH,Eindhoven Airport,51.45009995,5.374529839,74,EU,NL
EKS,UHSK,Shakhtyorsk Airport,49.1903,142.082993,50,EU,RU
EKT,ESSU,Eskilstuna Airport,59.35110092,16.70840073,139,EU,SE
EMA,EGNX,East Midlands Airport,52.83110046,-1.328060031,306,EU,GB
EME,EDWE,Emden Airport,53.391109,7.2275,3,EU,DE
EML,LSME,Emmen Air Base,47.092444,8.305184,1400,EU,CH
ENC,LFSN,Nancy-Essey Airport,48.69210052,6.230460167,751,EU,FR
ENF,EFET,Enontekio Airport,68.36260223,23.42429924,1005,EU,FI
ENK,EGAB,St Angelo Airport,54.39889908,-7.651669979,155,EU,GB
ENS,EHTW,Twente Airport,52.275833,6.889167,114,EU,NL
EOI,EGED,Eday Airport,59.19060135,-2.772219896,10,EU,GB
EPL,LFSG,Épinal-Mirecourt Airport,48.325001,6.06998,1084,EU,FR
EPU,EEPU,Pärnu Airport,58.41899872,24.4727993,47,EU,EE
ERD,UKDB,Berdyansk Airport,46.814999,36.758099,171,EU,UA
ERF,EDDE,Erfurt Airport,50.97980118,10.95810032,1036,EU,DE
ESH,EGKA,Shoreham Airport,50.835602,-0.297222,7,EU,GB
ESL,URWI,Elista Airport,46.37390137,44.33089828,501,EU,RU
ESS,EDLE,Essen Mulheim Airport,51.40230179,6.937329769,424,EU,DE
ETL,UHTQ,Svetlaya Airport,46.541704,138.321703,131,EU,RU
ETZ,LFJL,Metz-Nancy-Lorraine Airport,48.98210144,6.251319885,870,EU,FR
EUM,EDHN,Neumünster Airport,54.07944489,9.941389084,72,EU,DE
EVE,ENEV,"Harstad/Narvik Airport, Evenes",68.49130249,16.67810059,84,EU,NO
EVG,ESND,Sveg Airport,62.04779816,14.4229002,1178,EU,SE
EVX,LFOE,Évreux-Fauville (BA 105) Air Base,49.02870178,1.219859958,464,EU,FR
EWY,EWY,RAF Greenham Common,51.379,-1.281,400,EU,GB
EXT,EGTE,Exeter International Airport,50.7344017,-3.413889885,102,EU,GB
EYK,USHY,Beloyarskiy Airport,63.686901,66.698601,82,EU,RU
FAB,EGLF,Farnborough Airport,51.2757988,-0.776332974,238,EU,GB
FAE,EKVG,Vágar Airport,62.063599,-7.27722,280,EU,FO
FAG,BIFM,Fagurhólsmýri Airport,63.87469864,-16.64109993,56,EU,IS
FAN,ENLI,Lista Airport,58.09949875,6.626049995,29,EU,NO
FAO,LPFR,Faro Airport,37.01440048,-7.965909958,24,EU,PT
FAS,BIFF,Fáskrúðsfjörður Airport,64.93170166,-14.06060028,15,EU,IS
FBU,ENFB,"Oslo, Fornebu Airport",59.89580154,10.6171999,,EU,NO
FCN,ETMN,Nordholz Naval Airbase,53.7677002,8.658499718,74,EU,DE
FCO,LIRF,Leonardo da Vinci–Fiumicino Airport,41.8002778,12.2388889,13,EU,IT
FDE,ENBL,Førde Airport,61.39110184,5.756939888,1046,EU,NO
FDH,EDNY,Friedrichshafen Airport,47.67129898,9.511489868,1367,EU,DE
FEA,FEA,Fetlar Airport,60.60333333,-0.872777778,263,EU,GB
FEL,ETSF,Fürstenfeldbruck Air Base,48.205555,11.266944,1703,EU,DE
FFD,EGVA,RAF Fairford,51.68220139,-1.790030003,286,EU,GB
FIE,EGEF,Fair Isle Airport,59.53580093,-1.628059983,223,EU,GB
FKB,EDSB,Karlsruhe Baden-Baden Airport,48.77939987,8.080499649,408,EU,DE
FLF,EDXF,Flensburg-Schäferhaus Airport,54.7733345,9.378889084,131,EU,DE
FLH,GB-FLH,Flotta Isle Airport,58.82580185,-3.142780066,50,EU,GB
FLI,BIHT,Holt Airport,66.01418043,-23.4416914,10,EU,IS
FLR,LIRQ,Peretola Airport,43.810001,11.2051,142,EU,IT
FLW,LPFL,Flores Airport,39.45529938,-31.13139915,112,EU,PT
FMM,EDJA,Memmingen Allgau Airport,47.98880005,10.23950005,2077,EU,DE
FMO,EDDG,Münster Osnabrück Airport,52.13460159,7.684830189,160,EU,DE
