,origin,destination,route,lat_origin,lon_origin,lat_destination,lon_destination
126,NCE,AMS,9687067.164220363,43.65840149,7.215869904,52.308601,4.76389
127,AMS,TRN,999860.9699302181,52.308601,4.76389,45.200802,7.64963
128,AMS,HAJ,4330992.1782583855,52.308601,4.76389,52.46110153,9.685079575
129,AMS,BRE,9731196.297155976,52.308601,4.76389,53.04750061,8.786669731
130,AMS,TRD,9005147.522304362,52.308601,4.76389,63.4578018,10.9239998
131,AMS,GDN,14312663.423867345,52.308601,4.76389,54.37760162,18.46619987
132,AMS,CWL,3479408.5765897287,52.308601,4.76389,51.39670181,-3.343329906
133,BER,AMS,5881871.6403902825,52.351389,13.493889,52.308601,4.76389
134,AMS,NUE,17887574.20232939,52.308601,4.76389,49.498699,11.078056
135,AMS,NWI,8224837.5099664405,52.308601,4.76389,52.67580032,1.282780051
136,AMS,DUS,3412926.7680355553,52.308601,4.76389,51.289501,6.76678
137,AMS,MME,14017759.103637049,52.308601,4.76389,54.50920105,-1.429409981
138,AMS,LUX,13945883.655280765,52.308601,4.76389,49.6233333,6.2044444
139,AMS,HUY,9827132.813872268,52.308601,4.76389,53.57440186,-0.350832999
140,AMS,FDE,17361786.885166414,52.308601,4.76389,61.39110184,5.756939888
