,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
12,17098721.28830266,11047917.46421255,14973122.679513024,17056281.071248453,8351958.985217039,8755778.420011284,12066154.663563633,12116111.856974365,9137917.934433902,18395163.947478153,14311295.862896927,9070714.885787873,0.0,18419861.60140365,13972049.449742867,12610342.42437409,3428085.250232803,8667916.602512734,11001418.275519842,7645917.155475005,15478995.979614364,13152383.809807785,18932486.11645833,11983126.170217354,5101052.477235883,12615057.314188007,6377710.633709323,7296204.885213952,13820988.068927918,13840901.729033489,1983313.9853910066,5049720.515065209,5685034.264381508,5646418.506057711,9359446.759403288,6267195.212008106,14934240.332398705,7525286.684458127,9147809.290597966,4045892.621992377,16949441.400564615,13690851.576367378,10015528.211797109,14877041.717994517,17442263.665530954,13818554.4770312,15711183.542733377,5995191.272006084
13,4470649.161036865,8352962.930738216,3479408.5765897287,3189989.4380089347,11844848.652545575,12354448.853313966,8038443.808018058,7158756.976432313,10272507.746443907,1695928.346821058,6320542.968824606,12346149.844637968,18419861.60140365,0.0,7361257.836895142,5890604.607715771,17972391.441594575,12093674.9060423,9229798.03415651,13411047.329758383,4731817.635928562,5700864.442885933,1565303.910424057,6585365.441316985,13333032.746382926,8298595.966543232,12241683.431784516,11221235.103883479,4864471.206870256,5081672.5107652545,16853897.327909105,15330869.59871879,15246477.332523208,13034028.224866424,9733711.845588464,15062416.038833326,5648470.180287283,12103804.920816006,9443824.319690699,17234210.671811715,2536870.5407230994,6774289.957558191,8415036.059308862,3544898.8899106425,3553480.818324026,5764305.080271737,4825188.193611111,14225801.00807102
14,4337542.254562035,8354239.008625592,9970752.056852443,8139713.956595743,7398276.60612218,5302320.440611865,11561510.018144408,13373469.180997735,15395170.516133513,7456327.372876648,8825592.034638818,8044388.765310741,13972049.449742867,7361257.836895142,0.0,13156673.922832439,10620821.595089495,11217109.373060243,5639515.1835299665,6424113.979075049,4662574.752589155,12859770.079394856,5819880.377011787,13930179.543047428,16211870.10374979,2502924.16347355,14025443.577613946,18153257.722963445,12197218.202044062,12150855.812961021,15788298.06185151,9552236.298390403,8406344.268342733,13863340.89903745,10336186.514402969,10256265.134120071,8646045.83791214,9446204.249303747,16779238.052556053,9940465.84536231,6422932.484760993,9617662.89759536,14129423.767084088,10560934.193469528,6725745.570725996,6654738.717023816,8366927.696232481,14013940.790182682
15,10013416.00245279,8936161.110046009,3412926.7680355553,6578548.631509759,13291117.688217428,16836091.93633389,7622466.404807566,4458610.8153840285,6579901.9820688125,6366041.815070878,8496306.571196565,15117175.502837792,12610342.42437409,5890604.607715771,13156673.922832439,0.0,16024870.95854315,11841941.66747075,12030531.172924573,17057795.941357337,9168451.242666567,2374833.2042438756,7372774.766970564,927636.4309422765,7952693.455409686,13236777.775421558,8060499.828227659,5330748.053952877,1771499.9495588348,2774528.9057800295,11020140.043800894,14790850.142145388,16562644.186008979,8899587.41037173,8492241.378379079,15294639.293106237,8057269.835629015,11569769.67636047,3625988.969632863,16497563.867612299,6899820.398929373,8205247.332935429,3652180.542731259,2633770.559270399,8022726.600928604,8290216.744210349,7609013.309988345,11170445.5290471
16,13923098.762898203,11027298.896264205,17361786.885166414,16724250.830734165,6880364.941188095,5658979.2004979,12903930.525288843,14572737.230761755,11467634.96847258,17510984.435623538,13772201.579268817,6894618.204908705,3428085.250232803,17972391.441594575,10620821.595089495,16024870.95854315,0.0,8354646.076627616,9308091.702252403,4642785.574684143,13571803.001791788,16285782.403779112,16408761.67258377,15407049.960288042,8206783.568151933,9751385.602616811,8725709.243410785,10724257.64903942,17167923.827521313,16847529.584083024,5174964.742724764,3552131.8298065867,2978823.086081609,7864746.946465389,10202012.97039278,4684163.960528575,14418179.424474312,7300805.934211706,12558239.767054887,799158.8056116492,16002340.040780174,13593718.720925463,13006818.09139503,17877427.185970306,15601648.58968772,13162912.822406296,15164861.011049636,7055969.649712796
17,9420803.505915951,19226935.398227938,14061175.992941689,8912989.81603779,14751655.709970148,11229796.712069115,4646643.348406177,7427513.715430897,5653182.381312837,10401764.584469689,5774597.558578297,3716004.409067219,8667916.602512734,12093674.9060423,11217109.373060243,11841941.66747075,8354646.076627616,0.0,15891470.991733283,11085531.688766403,15043673.96841916,9664231.140833372,12387999.847097766,11077966.789189601,11907902.137503846,13245342.102919,14181189.171216652,10356089.477564702,10721961.071602475,9624993.810624605,7880416.281146695,11881401.239972277,10727048.682995921,13812601.889399944,17965658.25373055,3849618.9712086935,6445386.752688266,15650967.783217413,10160169.289752766,8892047.488494832,14383600.310385453,5355416.265795156,13996523.588815907,13132125.186543055,8778384.722752716,17322610.8415773,7268613.681276497,3171754.820172175
18,9230976.305944335,3391823.75817227,9084381.624375805,11945224.202705339,2656366.7575853425,4808162.538041858,16795393.78779986,16026174.60792725,18457507.322614647,10531642.352884138,14063078.18586089,12180643.580769772,11001418.275519842,9229798.03415651,5639515.1835299665,12030531.172924573,9308091.702252403,15891470.991733283,0.0,5242513.482003735,4536394.617307585,13849873.308408152,8057341.440462758,12883788.818632148,10599315.859708592,3166410.417977078,8390144.24131087,13279951.307322385,12703637.538158884,13606151.56506972,12751980.022288768,6107723.680644392,6359491.181967503,8253613.35833765,4936740.337951059,12655925.99257858,13649998.193140863,4002890.658973252,13894379.749780903,8547407.129740708,6764371.645524177,14857815.259067405,10073269.64500437,10082487.39305884,11124556.639654864,3978621.635057189,13051056.708418626,16352030.121790241
19,10595230.654369388,8142685.492757732,14312663.423867345,14477929.451182744,3775249.9947785637,1122194.3161684915,15252664.322009243,18486386.550017614,15927020.375366423,13865544.803128496,13789027.809109816,7783460.246629791,7645917.155475005,13411047.329758383,6424113.979075049,17057795.941357337,4642785.574684143,11085531.688766403,5242513.482003735,0.0,8992161.97651725,19037704.67816831,11870904.439327223,17668949.081281744,10889689.36841164,5116578.544078218,9902118.799904367,14281816.509288067,17912049.569008145,18491899.009296864,9601837.171509271,3359063.2716074116,1983495.5446998412,9186126.736915719,8626170.70268615,7451723.176710778,14027868.945372835,5659475.777491522,16201183.189191421,3851902.8636380206,11445697.705292415,14290616.179014543,13859156.026665764,15303536.799138105,12976503.246234328,9187474.596973108,14172771.649419066,11240126.038205668
20,5673644.642018896,4921204.121519915,5755653.832677184,7459968.483818591,7188949.072110147,8096928.707026734,12459496.661312487,11838929.098669022,14959082.319181405,6004168.602313517,10057976.10903631,12609876.5576173,15478995.979614364,4731817.635928562,4662574.752589155,9168451.242666567,13571803.001791788,15043673.96841916,4536394.617307585,8992161.97651725,0.0,10050166.60572082,3532314.274297572,10083201.963550728,13000644.874069883,4082802.1622313936,10773962.52931137,13492281.972252833,8986274.783519704,9569079.537468111,16928861.748532806,10635595.424881723,10611106.27770404,11132433.451698627,6955129.083790314,14903061.254880287,9493696.792550003,8020022.732622289,12555587.280203167,12773702.695249895,2453650.8546506753,10756478.00707209,9472696.123008192,6599240.352958998,6892935.036436989,2317029.5160042625,8765578.93207373,18209014.65006855
21,8857100.173833888,11104678.85433587,4765573.483738691,5017692.345662537,15573600.321875727,18055130.799477935,5266025.256145658,2257871.390193658,5034527.085489594,5410722.123549021,6264011.651888562,12749954.410774747,13152383.809807785,5700864.442885933,12859770.079394856,2374833.2042438756,16285782.403779112,9664231.140833372,13849873.308408152,19037704.67816831,10050166.60572082,0.0,7256688.3360890895,2056778.2627347077,9459349.246997947,13967172.53268738,10124907.552075393,6208681.951018095,1146887.0630146554,729402.9574641155,11231504.832288971,16897293.387494702,18596053.170710243,10906531.210906692,10856446.27271379,13395274.003396077,5912743.914822636,13944547.145517327,4249986.306932401,17064568.075871527,7597296.460830977,5887590.629806025,5894265.226082916,3768301.5244070855,6541997.097475551,9884184.897908652,5618091.535332608,9711090.664127009
